user,neighbors
1642,"[911, 90, 1086, 298, 1340, 1213, 355, 1470, 5, 1238, 1769, 345, 1588, 1263, 673, 1255, 1237, 734, 443, 937, 1077, 351, 327, 1028, 447, 140, 1500, 416, 391, 446, 1732, 1718, 1416, 769, 1665, 656, 286, 991, 1362, 139, 1600, 1303, 1056, 1528, 542, 779, 292, 1306, 1714, 183, 1096, 817, 392, 666, 233, 1785, 1257, 1234, 106, 279, 1184, 1395, 388, 1586, 1351, 1012, 301, 578, 1294, 148, 1191, 1716, 1145, 701, 1518, 78, 1759, 1724, 105, 1676, 1135, 24, 492, 692, 189, 1389, 1244, 1494, 1664, 1659, 794, 337, 530, 1359, 674, 1282, 1750, 1488, 1018, 1066, 919, 739, 569, 974, 353, 371, 1122, 877, 1813, 149, 296, 1804, 829, 746, 1816, 19, 1486, 1031, 1258, 1648, 1478, 1322, 745, 175, 1514, 535, 68, 1450, 497, 751, 1283, 1573, 913, 922, 1231, 169, 733, 265, 543, 841, 566, 1214, 1353, 1154, 1400, 537, 967, 546, 1026, 608, 398, 481, 386, 151, 1423, 381, 1662, 1432, 1779, 71, 1222, 647, 275, 1235, 1219, 960, 1338, 125, 1709, 63, 845, 705, 442, 1589, 235, 1473, 1708, 1758, 93, 1611, 846, 820, 1677, 1040, 181, 1035, 414, 1165, 52, 1562, 258, 307, 1186, 899, 1618, 1372, 510, 1689, 721, 1533, 334, 1497, 154, 1354, 1218, 1583, 1162, 1631, 1027, 649, 1543, 1568, 1039, 304, 1112, 708, 1560, 588, 1300, 365, 559, 1457, 309, 606, 478, 251, 1686, 207, 1728, 774, 318, 1033, 575, 904, 624, 109, 1565, 526, 1046, 300, 1087, 1373, 1667, 1462, 1387, 1382, 1144, 341, 1159, 254, 156, 955, 532, 706, 824, 331, 176, 1767, 1330, 572, 891, 1131, 1511, 990, 1781, 431, 407, 12, 1449, 1073, 180, 210, 1406, 455, 963, 440, 1444, 1276, 1398, 1641, 1712, 118, 1232, 1691, 639, 1581, 188, 80, 1455, 240, 702, 1328, 748, 1102, 395, 597, 1140, 512, 393, 1196, 504, 1158, 1314, 712, 314, 165, 1738, 428, 587, 131, 92, 564, 1307, 333, 717, 239, 523, 1250, 70, 280, 1032, 1496, 1180, 1509, 1596, 1628, 1376, 1613, 408, 1009, 315, 196, 1722, 1815, 1413, 1604, 1163, 1796, 421, 589, 370, 343, 1002, 903, 1614, 1019, 900, 549, 1043, 459, 62, 31, 1519, 493, 1207, 69, 1597]"
1102,"[5, 391, 169, 566, 416, 578, 90, 1237, 296, 154, 1340, 1031, 1659, 447, 1303, 355, 1086, 543, 1077, 1813, 1359, 673, 656, 1779, 1362, 1238, 721, 1677, 140, 1709, 68, 1012, 78, 1135, 1528, 353, 666, 189, 1494, 1322, 292, 327, 1395, 1214, 1724, 286, 1589, 1282, 963, 233, 1218, 351, 919, 1387, 1470, 891, 748, 443, 139, 1473, 974, 1165, 1648, 1664, 1145, 1040, 739, 779, 1665, 1600, 1222, 148, 298, 1258, 1330, 149, 705, 1689, 309, 1231, 307, 1263, 105, 877, 24, 345, 1056, 1255, 1096, 1046, 1488, 1027, 1769, 911, 1514, 1154, 1423, 1662, 442, 12, 606, 1611, 841, 151, 1131, 265, 446, 1562, 19, 381, 1257, 1676, 106, 1565, 1028, 1398, 572, 734, 1722, 183, 1732, 922, 967, 1186, 1306, 674, 1708, 1500, 1122, 913, 1039, 1400, 497, 392, 235, 279, 1244, 510, 1586, 301, 817, 745, 1033, 746, 1026, 706, 846, 1718, 1416, 175, 751, 1191, 1314, 1712, 386, 1328, 125, 365, 93, 371, 1035, 1018, 71, 537, 1543, 165, 341, 1219, 258, 1785, 388, 1353, 608, 1351, 1184, 1234, 1667, 1533, 1382, 156, 1716, 649, 1373, 1588, 1486, 1478, 1573, 1750, 546, 1283, 181, 414, 597, 845, 1759, 1496, 1457, 304, 1804, 588, 1196, 1372, 1583, 314, 131, 1581, 937, 398, 300, 829, 1758, 535, 1213, 109, 1560, 1714, 542, 481, 251, 1444, 393, 1180, 331, 1432, 824, 991, 1140, 523, 1815, 1112, 1009, 569, 1066, 254, 1781, 492, 1691, 1767, 407, 337, 794, 504, 1276, 692, 1686, 315, 1497, 1073, 1376, 532, 1389, 408, 1728, 1604, 52, 1338, 1294, 733, 118, 1509, 1159, 1596, 512, 1406, 70, 1618, 526, 1462, 1449, 1354, 176, 624, 1642, 899, 455, 210, 207, 92, 63, 180, 774, 820, 559, 702, 639, 318, 1300, 1518, 904, 769, 1450, 1307, 1235, 240, 395, 188, 990, 1250, 712, 478, 1162, 530, 196, 564, 708, 280, 1232, 1158, 1568, 334, 440, 647, 239, 1087, 428, 1032, 333, 701, 575, 1163, 275, 1816, 1455, 1144, 431, 1631, 80, 1628, 1641, 955, 1613, 587, 960, 1019, 1796, 1511, 1413, 1614, 717, 343, 493, 421, 589, 1738, 900, 549, 62, 903, 1043, 1002, 1207, 370, 1519, 31, 459, 1597, 69]"
549,"[1614, 343, 493, 1207, 904, 1066, 900, 62, 196, 388, 447, 1677, 1400, 530, 1232, 721, 381, 1662, 903, 1039, 656, 1588, 407, 1244, 1191, 78, 1154, 279, 1359, 90, 258, 1322, 392, 149, 706, 734, 1648, 156, 1573, 118, 1255, 1478, 769, 19, 911, 1676, 301, 1470, 80, 431, 1340, 355, 532, 24, 1028, 1457, 543, 1086, 705, 991, 1033, 351, 1667, 12, 265, 1750, 327, 353, 296, 922, 1586, 233, 1395, 68, 578, 1686, 1543, 537, 1759, 891, 666, 1631, 1145, 337, 542, 589, 1300, 1258, 275, 391, 1462, 1237, 559, 572, 817, 370, 5, 774, 1804, 175, 481, 1031, 1519, 176, 1600, 1196, 701, 1073, 1497, 1077, 63, 1218, 673, 71, 1659, 443, 1131, 913, 597, 919, 1231, 304, 1043, 1618, 251, 1779, 1354, 414, 1709, 1056, 1222, 395, 416, 692, 1642, 1135, 1159, 371, 139, 1186, 1330, 1494, 131, 1560, 647, 298, 1184, 974, 92, 1500, 70, 1257, 235, 1112, 442, 1012, 31, 183, 990, 1423, 960, 1528, 421, 566, 1473, 307, 1351, 1708, 569, 1102, 446, 1718, 309, 334, 639, 1514, 1583, 967, 408, 1122, 341, 1165, 535, 1613, 674, 1035, 846, 169, 181, 105, 1714, 93, 1716, 1604, 845, 1027, 745, 1144, 1691, 546, 1665, 440, 1628, 286, 877, 497, 1596, 1338, 1813, 1488, 189, 292, 492, 779, 1611, 588, 140, 794, 712, 746, 1562, 1455, 1432, 345, 148, 207, 1785, 606, 106, 1589, 1712, 1087, 739, 1376, 365, 1815, 1509, 1728, 1641, 1372, 1796, 824, 1416, 820, 1689, 1496, 1180, 1263, 318, 1096, 1213, 331, 210, 512, 1282, 478, 575, 1382, 504, 1276, 702, 523, 180, 52, 1724, 151, 1046, 1303, 428, 1009, 1565, 1664, 1398, 963, 254, 386, 937, 841, 751, 733, 1314, 587, 829, 1486, 1581, 314, 1140, 1219, 1040, 188, 109, 125, 1238, 1387, 1018, 1214, 1767, 1450, 300, 1389, 748, 899, 1019, 1162, 1306, 1250, 1294, 1328, 1235, 1732, 1158, 154, 1444, 393, 1722, 1518, 1362, 1769, 1234, 315, 624, 526, 1738, 1511, 1781, 1032, 455, 239, 564, 1406, 398, 1816, 708, 240, 1373, 510, 1568, 1283, 1413, 459, 1307, 955, 717, 280, 1449, 1758, 608, 165, 1533, 333, 649, 1002, 1353, 69, 1163, 1026, 1597]"
1641,"[333, 1496, 1009, 1314, 1691, 1509, 331, 1604, 1722, 1815, 526, 1712, 597, 24, 1581, 298, 1213, 355, 1184, 1340, 391, 974, 1322, 841, 746, 345, 1759, 919, 1732, 351, 1528, 446, 1813, 265, 1237, 1362, 1724, 90, 1500, 68, 1244, 624, 353, 1664, 392, 1145, 140, 1306, 1031, 1255, 911, 5, 739, 1263, 546, 734, 733, 296, 1676, 106, 532, 991, 922, 148, 673, 1218, 1648, 1028, 19, 1514, 154, 1122, 309, 1338, 1659, 301, 254, 365, 1258, 125, 656, 1562, 1718, 1470, 286, 233, 674, 1588, 189, 569, 1450, 292, 447, 751, 1423, 779, 1600, 1086, 845, 1257, 1611, 1432, 1573, 1416, 1154, 1219, 1250, 497, 1665, 1816, 188, 1488, 1191, 1372, 78, 169, 398, 1073, 523, 774, 1560, 327, 1087, 1486, 1234, 1769, 1804, 1096, 537, 1779, 156, 1494, 1222, 12, 1478, 1282, 1140, 877, 1186, 139, 481, 1027, 414, 105, 1750, 1376, 960, 93, 566, 151, 176, 1642, 1035, 1303, 1677, 1112, 183, 1473, 279, 71, 1231, 1389, 1135, 666, 543, 990, 1012, 381, 307, 492, 899, 1767, 1716, 1400, 1497, 1709, 1395, 1238, 442, 1056, 1714, 1214, 1294, 1589, 1300, 1162, 393, 1144, 1781, 131, 239, 1131, 817, 1708, 181, 891, 314, 721, 649, 443, 955, 235, 388, 251, 371, 1276, 1039, 1413, 1351, 1518, 1077, 572, 1382, 1283, 304, 846, 1785, 706, 1565, 745, 1583, 829, 341, 1533, 337, 1667, 963, 318, 937, 455, 416, 692, 1586, 1398, 1568, 1235, 530, 967, 1689, 315, 149, 207, 1457, 52, 1662, 794, 1449, 440, 824, 705, 913, 1618, 109, 1728, 1406, 510, 1354, 1040, 535, 1066, 1046, 275, 1026, 258, 1359, 701, 769, 1018, 408, 1330, 1758, 1180, 712, 578, 588, 407, 1543, 240, 647, 175, 63, 300, 542, 118, 748, 1631, 1686, 1033, 1373, 559, 606, 1796, 1307, 1232, 1165, 820, 1196, 512, 504, 1353, 431, 1102, 428, 564, 1158, 575, 1455, 1328, 1387, 1511, 1032, 334, 180, 1613, 708, 196, 478, 1043, 904, 608, 1462, 386, 702, 80, 92, 370, 1444, 639, 1159, 587, 70, 1628, 210, 1019, 165, 343, 717, 1738, 280, 1163, 493, 589, 395, 900, 459, 903, 1596, 62, 1614, 549, 31, 1519, 1002, 421, 1207, 69, 1597]"
546,"[355, 90, 656, 1600, 1237, 673, 5, 447, 296, 1077, 1724, 1096, 937, 1238, 1560, 1659, 1303, 353, 233, 566, 443, 1283, 292, 1012, 1340, 392, 106, 1611, 1322, 1154, 705, 148, 1779, 1040, 877, 1372, 1145, 327, 1218, 1528, 1234, 298, 154, 304, 1362, 1648, 1354, 829, 1813, 779, 991, 1416, 1244, 1255, 337, 746, 189, 169, 1263, 674, 1804, 1589, 1565, 1718, 1470, 1586, 139, 537, 1031, 1359, 1500, 71, 497, 751, 739, 371, 1191, 414, 265, 286, 1769, 446, 1213, 301, 919, 1086, 1716, 12, 388, 1562, 1028, 1122, 922, 1351, 1676, 1488, 140, 314, 416, 151, 78, 1494, 1282, 93, 974, 1759, 492, 279, 1662, 1214, 734, 820, 1066, 1618, 1395, 1131, 1709, 1785, 1035, 721, 963, 105, 911, 381, 1056, 1533, 1677, 1294, 1714, 68, 393, 309, 1219, 1186, 156, 841, 331, 1478, 1306, 543, 1039, 1184, 1514, 24, 569, 391, 175, 1423, 1027, 1667, 1642, 481, 125, 428, 990, 1613, 1583, 1568, 913, 824, 1165, 442, 846, 692, 1712, 1257, 967, 1750, 708, 904, 794, 254, 1140, 899, 52, 1496, 891, 745, 578, 345, 597, 1444, 1543, 19, 351, 1588, 1732, 398, 386, 1276, 307, 523, 478, 251, 318, 706, 1231, 845, 63, 542, 1641, 769, 647, 1018, 1816, 526, 1457, 315, 1258, 1573, 1518, 183, 258, 1387, 1664, 701, 1689, 109, 1767, 1158, 960, 1450, 748, 532, 1389, 1665, 176, 1073, 535, 1235, 181, 149, 733, 1300, 1497, 1596, 1009, 180, 341, 1135, 1486, 235, 1026, 1328, 1815, 530, 1330, 817, 1144, 1162, 1400, 239, 624, 118, 1473, 1102, 1781, 1222, 1708, 1758, 572, 440, 1196, 431, 1112, 1159, 365, 1250, 1382, 1686, 1046, 1033, 712, 666, 1581, 1373, 188, 1087, 275, 606, 1338, 207, 1353, 1509, 407, 80, 1511, 334, 955, 1314, 1604, 455, 1449, 587, 1462, 608, 300, 240, 1728, 588, 1406, 280, 559, 1432, 774, 702, 1398, 333, 510, 1796, 1413, 1180, 639, 1232, 575, 1631, 165, 1722, 512, 92, 1455, 1376, 1307, 210, 1032, 649, 131, 1019, 1002, 1628, 395, 1691, 717, 408, 70, 504, 564, 1163, 196, 1738, 1043, 370, 1519, 493, 62, 1614, 589, 343, 549, 900, 903, 459, 421, 1207, 31, 1597, 69]"
1096,"[673, 233, 5, 90, 296, 1340, 447, 355, 1237, 392, 1359, 1077, 1423, 1263, 298, 1056, 1255, 1031, 443, 139, 1600, 1565, 1154, 1012, 106, 1416, 1238, 974, 877, 371, 1648, 1028, 388, 1213, 416, 1677, 1135, 937, 1122, 279, 1724, 1528, 751, 1589, 292, 990, 1470, 1813, 286, 1500, 1218, 154, 327, 1282, 1769, 1322, 542, 1191, 78, 1387, 1488, 1804, 1234, 1086, 919, 1709, 1184, 746, 353, 1035, 656, 546, 1815, 566, 1750, 1586, 1186, 779, 1562, 1214, 674, 1303, 337, 1718, 1543, 140, 189, 1294, 386, 1494, 1714, 265, 381, 1486, 1145, 692, 1659, 845, 149, 734, 183, 721, 922, 1759, 1665, 1716, 526, 535, 1231, 1478, 824, 169, 391, 705, 1785, 537, 307, 175, 1560, 148, 1662, 1676, 1779, 105, 1244, 1473, 1611, 1040, 1257, 24, 258, 1382, 309, 841, 446, 820, 1351, 481, 701, 745, 1642, 543, 1389, 1328, 341, 1276, 817, 1732, 1258, 1728, 351, 769, 1362, 1219, 497, 1689, 398, 52, 275, 1583, 569, 963, 1497, 1400, 846, 301, 365, 428, 564, 71, 19, 407, 314, 523, 254, 1039, 578, 1283, 967, 1588, 739, 829, 235, 624, 572, 1767, 706, 1533, 125, 1518, 93, 1026, 666, 304, 1112, 1667, 109, 1708, 63, 1568, 315, 1618, 911, 597, 1162, 1450, 532, 345, 331, 1027, 1353, 794, 1131, 899, 1816, 1496, 156, 1432, 1514, 442, 240, 1457, 1159, 1573, 1712, 1372, 1596, 1395, 492, 1102, 151, 1165, 1018, 510, 1306, 431, 608, 1509, 1073, 207, 1033, 1140, 414, 913, 575, 1398, 1686, 440, 68, 1354, 239, 712, 1455, 1330, 647, 530, 181, 176, 280, 1307, 1628, 588, 1232, 991, 1196, 210, 80, 748, 733, 188, 606, 1781, 1449, 891, 1066, 165, 1373, 70, 1180, 708, 251, 904, 131, 1314, 702, 1691, 1235, 455, 1046, 1222, 1631, 1664, 774, 1581, 559, 1376, 334, 1144, 649, 478, 1758, 504, 1158, 639, 1641, 300, 180, 1444, 1300, 318, 1722, 393, 1009, 92, 333, 717, 1406, 1338, 1087, 587, 118, 1511, 1032, 395, 196, 960, 1613, 12, 408, 1604, 955, 1462, 512, 1250, 1163, 1043, 1796, 62, 1019, 1614, 1413, 589, 900, 1738, 1002, 1207, 31, 493, 370, 343, 903, 459, 421, 549, 1519, 69, 1597]"
5,"[673, 656, 233, 1340, 298, 90, 1237, 1096, 355, 1322, 296, 1077, 1470, 292, 1255, 1145, 1031, 416, 1600, 391, 1303, 106, 447, 1238, 1359, 1659, 1028, 154, 1724, 353, 1611, 497, 877, 169, 1214, 1135, 443, 1263, 1813, 351, 371, 1282, 1056, 739, 392, 1589, 1086, 974, 286, 189, 779, 1213, 1244, 1494, 446, 1416, 1716, 566, 1779, 1500, 1769, 139, 337, 301, 919, 1586, 937, 148, 1012, 1714, 307, 543, 78, 1677, 265, 911, 327, 1191, 140, 1528, 68, 674, 71, 1665, 1039, 345, 1759, 1027, 19, 235, 1066, 817, 1457, 428, 183, 1486, 1362, 1676, 578, 398, 1648, 734, 1718, 1351, 1257, 1560, 1184, 1497, 1488, 1306, 1154, 1689, 105, 1283, 1423, 24, 125, 1276, 492, 721, 1533, 1565, 175, 1186, 666, 12, 845, 1618, 1562, 1588, 1543, 1709, 388, 922, 963, 1804, 546, 1122, 1389, 990, 1732, 1040, 92, 1514, 746, 1642, 829, 1664, 304, 1102, 1662, 442, 1131, 1234, 1231, 279, 1473, 381, 414, 751, 913, 1222, 1478, 275, 1330, 841, 692, 1219, 991, 93, 314, 1750, 1387, 258, 1258, 1218, 149, 1035, 481, 706, 1708, 532, 1767, 891, 309, 705, 569, 537, 1165, 254, 535, 745, 151, 1785, 647, 820, 733, 156, 712, 1372, 575, 1400, 824, 386, 365, 1018, 1353, 1583, 63, 1573, 1450, 523, 530, 1382, 899, 512, 846, 588, 315, 1328, 526, 207, 794, 967, 251, 52, 181, 701, 239, 1376, 1354, 1518, 624, 542, 1667, 1026, 769, 774, 1712, 1294, 1235, 1300, 334, 1568, 318, 510, 180, 606, 1073, 1432, 1140, 572, 341, 1395, 1758, 109, 407, 904, 440, 408, 118, 1816, 1250, 559, 1373, 1046, 1087, 1033, 1686, 608, 188, 431, 1144, 597, 1509, 702, 1162, 176, 1496, 1815, 649, 1307, 1398, 708, 748, 1728, 395, 165, 1196, 1112, 478, 587, 331, 1444, 1631, 1781, 210, 1722, 1180, 1596, 639, 1159, 393, 300, 1691, 1455, 240, 1641, 1158, 564, 131, 1511, 1338, 1581, 1032, 1449, 80, 1406, 455, 1009, 1314, 333, 1628, 1604, 1462, 955, 1796, 1613, 504, 280, 717, 960, 70, 1163, 1232, 196, 1413, 1019, 493, 589, 343, 31, 1614, 421, 1043, 1738, 62, 903, 1002, 370, 900, 1519, 549, 1207, 459, 69, 1597]"
559,"[701, 820, 588, 708, 440, 1494, 721, 90, 523, 355, 68, 1028, 1667, 1759, 1340, 1135, 1066, 1244, 371, 1709, 673, 1676, 1237, 734, 265, 292, 1322, 109, 5, 233, 919, 1779, 1283, 1470, 1235, 1732, 106, 1077, 1012, 1214, 139, 1611, 1500, 1665, 1145, 300, 1767, 1186, 1255, 1018, 1589, 1600, 280, 1282, 1303, 345, 154, 1086, 656, 877, 1416, 706, 207, 189, 1659, 140, 846, 1769, 353, 537, 1191, 891, 381, 351, 497, 1027, 1213, 298, 105, 1263, 447, 183, 817, 745, 569, 1586, 794, 674, 543, 692, 337, 286, 751, 1294, 666, 388, 1351, 24, 1543, 1056, 1154, 1300, 71, 443, 1813, 1714, 1162, 181, 1478, 1122, 1716, 1642, 446, 296, 1718, 149, 974, 1628, 235, 769, 1514, 572, 535, 566, 1444, 416, 967, 911, 169, 1039, 19, 1423, 937, 990, 1096, 148, 1184, 1389, 1353, 175, 1395, 301, 578, 1328, 1398, 309, 391, 1031, 1359, 251, 1560, 542, 1276, 125, 1804, 1306, 1689, 1588, 779, 52, 1750, 1432, 481, 304, 1662, 597, 739, 1330, 492, 1035, 913, 1565, 1362, 239, 1238, 1488, 327, 1382, 1222, 392, 93, 258, 1528, 1497, 991, 647, 845, 1724, 922, 512, 1473, 1257, 746, 1686, 1677, 1785, 510, 705, 78, 334, 165, 829, 92, 279, 1196, 1518, 1400, 1648, 1234, 899, 1354, 624, 1140, 156, 1159, 1728, 428, 307, 12, 1218, 1073, 1533, 1180, 639, 963, 386, 1708, 188, 748, 546, 575, 1618, 1449, 1583, 1163, 1373, 1131, 1664, 733, 254, 1562, 1040, 331, 608, 314, 530, 1372, 1219, 240, 841, 1457, 1165, 1046, 341, 1102, 1631, 407, 824, 564, 1026, 1496, 1462, 1712, 63, 315, 712, 442, 1511, 365, 1231, 532, 1781, 1758, 176, 431, 118, 180, 275, 414, 1158, 131, 1338, 1450, 398, 1112, 1604, 151, 1387, 478, 587, 393, 1596, 1691, 1033, 1486, 606, 1568, 1573, 1816, 455, 318, 1087, 702, 395, 649, 1009, 1376, 1641, 1258, 1250, 1509, 526, 210, 1613, 955, 1581, 1032, 904, 70, 408, 1314, 504, 1455, 1307, 774, 80, 333, 1815, 717, 1406, 1019, 1413, 1144, 1796, 1722, 31, 900, 1232, 196, 960, 343, 1614, 1738, 589, 370, 549, 493, 459, 903, 1207, 421, 1043, 1002, 1519, 62, 1597, 69]"
12,"[673, 656, 447, 1486, 721, 1340, 307, 169, 1250, 1322, 1031, 5, 233, 301, 351, 251, 1589, 334, 1470, 1222, 1759, 1718, 118, 911, 1565, 24, 1488, 1086, 1631, 1303, 1180, 1033, 189, 353, 183, 1659, 1135, 1237, 19, 154, 1714, 739, 180, 327, 1354, 355, 774, 1689, 748, 666, 877, 1362, 1258, 1665, 443, 578, 416, 1257, 341, 1214, 733, 1562, 478, 1600, 922, 176, 1708, 1263, 1709, 497, 1494, 1664, 139, 891, 1306, 1219, 1611, 1686, 296, 1145, 292, 1046, 1300, 345, 1012, 1500, 298, 937, 93, 794, 566, 1028, 745, 1676, 734, 845, 1596, 919, 442, 1255, 1056, 90, 1283, 407, 1473, 674, 1395, 1330, 546, 1588, 140, 1724, 1077, 381, 1457, 1677, 148, 1648, 304, 1372, 967, 365, 1282, 1528, 1238, 572, 63, 106, 71, 105, 1040, 1244, 1416, 1543, 1618, 388, 151, 1276, 1035, 1497, 1716, 1213, 1667, 1027, 1131, 265, 1514, 1351, 337, 523, 991, 543, 1087, 1154, 1191, 371, 188, 624, 1478, 1779, 309, 1039, 1496, 286, 974, 1758, 899, 52, 1586, 446, 414, 1785, 1560, 990, 1815, 817, 156, 705, 68, 569, 1767, 1359, 1314, 537, 398, 1533, 1102, 1165, 779, 1732, 597, 1781, 235, 1018, 647, 1712, 751, 181, 314, 1750, 1186, 532, 1009, 606, 279, 1813, 1387, 78, 1804, 331, 1769, 125, 481, 1382, 913, 510, 1196, 175, 1122, 1509, 846, 1613, 769, 1432, 706, 149, 1235, 391, 318, 1234, 1389, 1218, 708, 1662, 746, 1573, 1066, 841, 1691, 963, 530, 109, 1462, 829, 1232, 393, 1294, 1400, 1376, 440, 1231, 1604, 712, 1444, 692, 492, 92, 1568, 1449, 1450, 955, 824, 131, 1642, 258, 165, 300, 1641, 1816, 1158, 1722, 702, 207, 1144, 1406, 1338, 1423, 559, 1581, 701, 280, 1140, 333, 1112, 1032, 1026, 254, 1307, 1328, 904, 535, 575, 1398, 588, 542, 1096, 639, 512, 1628, 80, 1162, 717, 428, 1159, 275, 526, 210, 392, 820, 386, 1184, 1583, 1073, 1455, 504, 1728, 315, 395, 960, 240, 1796, 1413, 431, 1163, 1511, 70, 649, 564, 455, 239, 1373, 408, 1043, 1518, 608, 196, 587, 1353, 900, 1738, 1019, 370, 493, 589, 343, 1519, 1614, 903, 549, 1207, 421, 31, 1002, 459, 62, 1597, 69]"
1659,"[353, 1709, 1145, 5, 673, 1470, 298, 90, 355, 656, 1340, 292, 233, 1086, 891, 169, 1322, 1779, 1077, 1237, 106, 1255, 443, 327, 1303, 1359, 666, 345, 154, 1611, 877, 391, 1135, 734, 1588, 105, 739, 1600, 974, 1769, 911, 1244, 1676, 265, 24, 1732, 1416, 1718, 296, 68, 447, 1716, 1664, 140, 779, 1056, 78, 371, 1759, 1714, 1263, 337, 1500, 1813, 183, 721, 1214, 148, 937, 569, 1648, 1562, 1028, 351, 1486, 1533, 1677, 189, 566, 1494, 1027, 365, 416, 71, 1362, 446, 1665, 1589, 1222, 139, 1724, 301, 1154, 1186, 1219, 497, 1122, 1234, 546, 712, 1031, 1238, 578, 1804, 1257, 1035, 1514, 817, 674, 991, 919, 1528, 1165, 746, 530, 93, 913, 1096, 414, 1473, 1191, 922, 537, 1488, 751, 442, 543, 156, 1708, 12, 706, 967, 1039, 381, 1667, 1750, 1478, 745, 481, 572, 1012, 125, 1573, 1131, 1432, 149, 1497, 1066, 331, 307, 1102, 1586, 1218, 175, 1306, 304, 692, 309, 52, 109, 1689, 1372, 286, 1213, 1444, 705, 824, 1283, 392, 702, 314, 1785, 19, 1159, 1543, 845, 1618, 393, 1560, 1662, 588, 1300, 1389, 899, 1565, 63, 1258, 279, 388, 1376, 1382, 1351, 829, 1642, 492, 235, 440, 1144, 1046, 701, 341, 1457, 1423, 318, 606, 1158, 990, 1087, 624, 1276, 1040, 1032, 1395, 794, 1231, 1282, 1184, 1112, 846, 1604, 1781, 748, 1387, 1338, 181, 1294, 207, 1581, 398, 1796, 407, 820, 1018, 1026, 542, 118, 1815, 1330, 478, 708, 275, 1583, 532, 254, 1354, 769, 526, 1180, 1509, 386, 904, 1162, 608, 251, 1033, 176, 1328, 151, 1314, 733, 523, 963, 535, 559, 258, 1250, 1140, 1722, 1767, 1568, 315, 1462, 510, 1450, 1728, 1009, 1641, 1628, 841, 1758, 1712, 180, 1353, 639, 1398, 334, 455, 1613, 165, 1631, 300, 131, 597, 1686, 428, 333, 1400, 431, 188, 280, 1496, 774, 1073, 647, 649, 1406, 1691, 80, 408, 955, 1596, 1235, 1449, 1816, 960, 575, 1455, 1511, 1518, 717, 240, 1232, 196, 92, 512, 210, 70, 564, 587, 1307, 395, 1163, 239, 1373, 1196, 1413, 504, 1738, 1019, 900, 421, 1043, 589, 343, 1614, 493, 31, 370, 549, 62, 1519, 1002, 903, 1207, 459, 1597, 69]"
